graph_id,run,k,config_id,c_args,runtime_ms,cycles,paths
0,0,12,1,"3 9",19080.475000000, 18562,47434| 31720746
1,0,12,1,"3 9",19435.475000000, 19793,47416| 32876968
0,1,12,1,"3 9",18930.748000000, 18562,47434| 31720746
1,1,12,1,"3 9",19615.690000000, 19793,47416| 32876968
0,0,12,2,"4 8",7347.922000000, 18562,140480| 10876284
1,0,12,2,"4 8",7527.900000000, 19793,141590| 11208652
0,1,12,2,"4 8",7351.546000000, 18562,140480| 10876284
1,1,12,2,"4 8",7568.177000000, 19793,141590| 11208652
0,0,12,3,"5 7",3432.561000000, 18562,415748| 4051190
1,0,12,3,"5 7",3491.869000000, 19793,421334| 4147586
0,1,12,3,"5 7",3445.799000000, 18562,415748| 4051190
1,1,12,3,"5 7",3486.966000000, 19793,421334| 4147586
0,0,12,4,"6 6",1712.925000000, 18562,1229898
1,0,12,4,"6 6",1677.005000000, 19793,1253288
0,1,12,4,"6 6",1711.280000000, 18562,1229898
1,1,12,4,"6 6",1676.728000000, 19793,1253288
0,0,12,5,"7 5",3399.639000000, 18562,3635442| 4051190
1,0,12,5,"7 5",3478.175000000, 19793,3726252| 4147586
0,1,12,5,"7 5",3448.463000000, 18562,3635442| 4051190
1,1,12,5,"7 5",3485.036000000, 19793,3726252| 4147586
0,0,12,6,"8 4",7495.242000000, 18562,10735804| 10876284
1,0,12,6,"8 4",7647.137000000, 19793,11067062| 11208652
0,1,12,6,"8 4",7446.299000000, 18562,10735804| 10876284
1,1,12,6,"8 4",7634.625000000, 19793,11067062| 11208652
0,0,12,7,"9 3",20766.827000000, 18562,31673312| 31720746
1,0,12,7,"9 3",20139.809000000, 19793,32829552| 32876968
0,1,12,7,"9 3",19219.721000000, 18562,31673312| 31720746
1,1,12,7,"9 3",19828.387000000, 19793,32829552| 32876968
